STATION,NAME,DATE,PRCP,SNOW
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-19,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-20,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-21,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-22,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-24,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-25,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-26,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-27,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-28,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-29,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-30,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-07-31,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-01,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-02,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-03,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-04,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-05,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-06,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-07,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-08,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-09,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-10,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-11,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-12,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-13,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-14,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-15,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-16,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-17,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-18,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-19,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-20,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-21,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-22,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-23,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-24,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-25,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-26,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-27,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-28,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-29,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-30,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-08-31,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-01,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-02,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-03,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-04,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-05,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-06,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-07,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-08,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-09,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-10,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-11,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-12,0.08,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-13,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-14,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-15,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-16,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-17,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-18,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-19,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-20,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-21,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-22,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-23,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-24,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-25,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-26,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-27,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-28,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-29,0.29,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-09-30,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-01,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-02,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-03,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-04,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-05,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-06,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-07,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-08,0.05,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-09,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-10,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-11,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-12,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-13,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-14,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-15,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-16,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-17,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-18,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-19,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-20,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-21,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-22,0.94,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-23,0.02,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-24,0.42,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-25,0.15,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-26,1.08,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-27,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-28,0.33,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-29,0.03,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-30,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-10-31,0.89,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-01,0.27,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-02,0.26,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-03,0.13,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-04,2.14,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-05,3.31,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-06,1.11,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-07,0.25,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-08,0.09,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-09,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-10,0.04,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-11,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-12,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-13,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-14,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-15,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-16,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-17,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-18,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-19,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-20,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-21,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-22,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-23,0.61,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-24,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-25,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-26,0.2,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-27,0.32,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-28,0.15,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-29,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-11-30,2.58,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-01,0.41,0.2
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-02,0.02,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-03,0.17,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-04,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-05,0.18,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-06,0.03,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-07,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-08,0.51,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-09,0.23,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-10,0.93,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-11,0.17,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-12,0.04,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-13,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-14,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-15,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-16,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-17,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-18,0.09,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-19,0.18,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-20,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-21,0.51,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-22,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-23,0.08,0.2
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-24,0.13,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-25,0.83,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-26,1.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-27,2.65,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-28,1.58,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-29,0.51,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-30,0.93,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2022-12-31,0.2,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-01,0.11,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-02,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-03,0.12,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-04,0.03,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-05,0.1,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-06,0.41,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-07,0.52,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-08,0.27,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-09,0.62,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-10,0.49,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-11,0.04,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-12,1.05,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-13,0.28,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-14,0.2,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-15,0.76,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-16,0.65,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-17,0.15,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-18,0.79,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-19,0.1,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-20,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-21,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-22,0.58,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-23,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-24,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-25,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-26,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-27,0.09,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-28,0.04,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-29,0.07,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-30,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-01-31,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-01,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-02,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-03,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-04,0.6,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-05,0.25,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-06,0.12,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-07,0.05,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-08,0.75,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-09,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-10,0.18,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-11,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-12,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-13,0.17,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-15,,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-16,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-17,0.04,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-18,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-19,0.05,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-20,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-21,0.32,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-22,0.6,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-23,0.13,0.8
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-24,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-25,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-26,0.62,0.5
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-27,0.14,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-02-28,0.47,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-01,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-02,0.45,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-03,0.33,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-04,0.8,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-05,0.18,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-06,0.04,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-07,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-08,0.27,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-09,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-10,0.37,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-11,0.19,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-12,0.07,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-13,0.96,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-14,0.15,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-15,0.13,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-16,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-17,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-18,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-19,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-20,0.21,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-21,0.19,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-22,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-23,0.06,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-24,0.65,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-25,0.35,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-26,0.14,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-27,0.2,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-28,0.1,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-29,0.24,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-30,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-03-31,0.05,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-01,1.15,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-02,0.7,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-03,0.34,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-04,0.11,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-05,0.35,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-06,0.21,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-07,0.31,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-08,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-09,0.1,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-10,1.07,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-11,0.89,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-12,0.45,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-13,0.07,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-14,0.08,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-15,0.01,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-16,0.04,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-17,0.64,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-18,0.62,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-19,0.65,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-20,0.14,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-21,0.95,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-22,0.03,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-23,0.24,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-24,0.2,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-25,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-26,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-27,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-28,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-29,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-04-30,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-01,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-02,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-03,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-04,0.08,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-05,0.75,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-06,0.11,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-07,0.07,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-08,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-09,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-10,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-11,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-12,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-13,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-14,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-15,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-16,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-17,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-18,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-19,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-20,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-21,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-22,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-23,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-24,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-25,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-26,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-27,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-28,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-29,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-30,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-05-31,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-01,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-02,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-03,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-04,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-05,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-06,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-07,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-08,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-09,0.0,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-10,0.25,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-11,0.02,
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-12,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-13,0.0,0.0
US1ORCB0041,"CLATSKANIE 6.1 W, OR US",2023-06-14,0.0,
